Zipcode,White_Pop %,Population
11716,86.02803738,10700
11717,58.15128817,60745
11718,93.71575894,3103
11719,79.46503204,3589
11720,82.20219946,29189
11721,93.21360458,6292
11722,51.78099326,35177
11724,87.98136646,3220
11725,92.9948542,29150
11726,61.20259858,19857
11727,77.41991044,29030
11729,67.28025114,28032
11730,79.74442632,14712
11731,94.8780811,30184
11732,93.64431487,3430
11733,77.38139216,18949
11735,87.65655181,32098
11738,94.17734437,17638
11739,106.6230581,1223
11740,85.56166702,9454
11741,86.22672211,27655
11742,77.45268079,13261
11743,89.50745915,42230
11746,73.55799326,67094
11747,86.19401101,19803
11749,64.54409567,3345
11751,82.88216028,14961
11752,84.51369216,9531
11753,65.6900283,12014
11754,89.72992932,18958
11755,90.40930007,12387
11756,81.26007805,42791
11757,83.31947484,45700
11758,89.09932347,53804
11762,94.90161002,22360
11763,84.15070511,28506
11764,100.8333333,13200
11765,103.256445,737
11766,84.40838939,12635
11767,94.05368204,14530
11768,93.39329742,21902
11769,81.14874816,9506
11770,47.44525547,137
11771,86.08973718,10007
11772,92.56863751,44837
11776,88.35981019,24235
11777,90.26538805,8968
11778,90.33755606,12709
11779,83.65997762,38421
11780,93.9835094,15524
11782,92.20943468,15814
11783,95.50450958,21288
11784,85.8081525,24655
11786,89.86443884,6344
11787,88.72302359,35772
11788,86.37417514,16821
11789,86.37112096,7895
11790,61.34730701,18511
11791,68.33625778,25076
11792,96.78516954,8523
11793,90.97776952,32298
11794,41.20063191,3165
11795,93.84172109,26030
11796,96.77021696,4056
11797,80.6437341,9041
11798,20.50563628,15347
11801,63.8737896,39553
11803,84.21090056,28127
11804,72.49500998,5010
11901,80.88841454,27172
11930,43.78257632,1343
11931,55.62913907,151
11932,58.86981402,1398
11933,82.65634132,6844
11934,92.75781358,7263
11935,89.92130751,3304
11937,101.4092739,15398
11939,122.1382289,926
11940,92.4184261,5210
11941,86.55589124,1986
11942,104.5187921,4603
11944,83.04256804,4299
11946,97.57605914,14068
11947,101.6826923,416
11948,59.66162066,1123
11949,86.13874974,14573
11950,83.16326531,16268
11951,99.18128655,13680
11952,108.1518223,4637
11953,83.59772744,13553
11954,102.2850271,3326
11955,88.55403349,3285
11956,96.56160458,349
11957,134.858681,743
11958,107.5590551,635
11959,56.23003195,939
11960,66.51291513,1084
11961,94.5846969,12834
11962,59.91902834,494
11963,97.28178798,6622
11964,112.0021529,1858
11965,82.58426966,534
11967,94.6206222,26583
11968,81.33356336,11593
11970,69.73180077,522
11971,98.96871777,5818
11972,62.98258895,1321
11973,122.2222222,9
11975,33.82352941,408
11976,109.8402556,1565
11977,94.93311715,2467
11978,82.76497696,3255
11980,112.1843687,4990
12007,16.66666667,60
12008,108.249497,497
12009,101.0469012,7164
12010,79.02685144,28937
12015,103.0232558,3010
12017,98.85057471,435
12018,88.05800757,7930
12019,89.88466757,14740
12020,103.1225955,31192
12022,68.99892357,929
12023,106.8306011,2196
12024,0,31
12025,95.42234332,5505
12027,100.8500773,3882
12028,60.32423208,1172
12029,84.09703504,1113
12031,99.42857143,175
12032,82.17703349,836
12033,100.0636862,7851
12035,72.19451372,802
12036,109.6491228,228
12037,102.3910336,4015
12040,76.99115044,113
12041,139.5010395,481
12042,81.5498155,271
12043,90.5511811,8509
12045,76.19863014,584
12046,135.00612,817
12047,95.31122864,19664
12051,74.2291372,7070
12052,122.5127551,1568
12053,99.69478962,4587
12054,94.62702447,16918
12056,108.4848485,2310
12057,116.1307902,1835
12058,63.39100346,1445
12059,104.1053922,1632
12060,110.2189781,1507
12061,99.18232044,9050
12062,89.63963964,1776
12063,173.4234234,444
12064,50.44404973,563
12065,90.18335887,41776
12066,84.78768082,2143
12067,102.9216467,1506
12068,92.68978444,3201
12069,114.84375,256
12070,137.2340426,1410
12071,118.1481481,270
12072,104.083045,2890
12074,97.23253459,2963
12075,69.42656524,3418
12076,74.73333333,1500
12077,90.90617996,6246
12078,92.49989484,23773
12083,97.97101449,3795
12084,70.66260829,4271
12085,83.50730689,479
12086,73.61930295,1865
12087,99.62721342,1073
12089,88.4057971,69
12090,92.318748,6262
12092,77.3006135,1304
12093,94.53781513,1666
12094,98.45679012,2268
12095,89.84610503,12606
12106,104.4687642,2193
12108,84.61538462,416
12110,80.31769217,21908
12115,31.21693122,189
12116,78.4375,1920
12117,96.86732187,3256
12118,112.4991005,13897
12120,118.1076672,613
12121,108.5073069,1916
12122,87.03622872,4582
12123,98.59484778,5124
12124,89.9339934,606
12125,77.34887109,1373
12130,90.37487335,987
12131,84.34782609,115
12132,98.81656805,338
12134,119.6530148,3516
12136,80.72139303,804
12137,117.5104229,1679
12138,98.83207071,3168
12139,46.10169492,295
12140,97.3560517,1702
12143,90.96749075,5137
12144,90.69812698,20555
12147,98.39679359,499
12148,82.84088422,4569
12149,91.91592563,2474
12150,89.49671772,914
12151,182.3446328,708
12153,94.22604423,814
12154,113.5557133,2818
12155,99.44360142,1977
12156,87.38207547,848
12157,107.2888451,4061
12158,96.51291805,6309
12159,93.21175279,7896
12160,84.85169492,944
12161,114.375,160
12164,109.5890411,365
12165,114.2857143,175
12166,83.63903155,1363
12167,104.9630845,2438
12168,102.1004098,1952
12169,115.3594771,306
12170,100.9706775,4945
12172,46.17283951,405
12173,120.5932687,1753
12174,148.6956522,345
12175,74.27854454,797
12176,188.3838384,198
12177,103.2818533,518
12180,78.3942096,53606
12182,79.40677391,14733
12183,82.82442748,2620
12184,88.8080582,7148
12185,98.03632793,2037
12186,96.84562689,6277
12187,72.02295552,697
12188,102.7959927,10980
12189,84.04485428,17568
12190,101.4836795,674
12192,101.8583043,1722
12193,93.20436508,2016
12194,58.93719807,207
12195,159.0909091,154
12196,133.0583966,3031
12197,94.98432602,2233
12198,88.73845375,7903
12202,28.95720814,9628
12203,81.45699786,29952
12204,50.61913185,7349
12205,82.04767024,26977
12206,38.85940836,16395
12207,44.35318275,1948
12208,73.43734905,20702
12209,56.14069756,10121
12210,56.3102973,10158
12211,85.62328585,11303
12222,63.33795654,6489
12302,95.35566674,27582
12303,74.54533275,29857
12304,64.91946746,21482
12305,75.99720084,5716
12306,92.61975347,25636
12307,40.97763911,7692
12308,63.04532116,15335
12309,92.52291858,29343
12401,80.37671233,35040
12404,97.19350074,3385
12405,64.61538462,780
12406,81.89550425,823
12407,71.67630058,173
12409,84.95024876,804
12410,90.42821159,397
12411,70.22132797,497
12412,64.19019316,673
12413,107.2930801,2948
12414,80.74215033,10510
12416,74.00722022,277
12417,96.21342513,581
12418,56.42458101,537
12419,67.31301939,722
12420,120.1101928,363
12421,44.04255319,470
12422,80.2359882,339
12423,104.7402005,1097
12424,74,250
12427,161.6319444,576
12428,80.70281733,6602
12429,111.7437722,281
12430,119.3467337,1194
12431,78.13178856,1381
12432,104.4715447,492
12433,100,483
12434,108.2556591,751
12435,44.17177914,326
12436,43.64508393,417
12438,0,59
12439,124.5901639,305
12440,66.61616162,1980
12441,109.6491228,114
12442,94.22875131,953
12443,91.52941176,3825
12444,90.54325956,497
12446,87.90752816,5061
12448,99.74226804,388
12449,80.84348084,3367
12450,75.95628415,183
12451,76.16487455,1674
12452,118.7793427,213
12453,94.26229508,366
12454,127.9461279,297
12455,75.60362173,1988
12456,144.913928,639
12457,115.7273919,763
12458,70.35891089,3232
12459,108.0745342,161
12460,122.7436823,277
12461,73.37821297,1634
12463,104.6495957,1484
12464,92.15686275,1020
12465,76.31578947,266
12466,80.21044112,2471
12468,91.6988417,1036
12469,94.83013294,677
12470,105.2238806,536
12471,178.6046512,215
12472,90.64885496,1572
12473,66.55052265,861
12474,76.24784854,1162
12475,91.24293785,354
12477,91.9305903,18787
12480,62.14511041,634
12481,122.4926254,1356
12482,90,680
12483,79.15057915,259
12484,98.31686791,2733
12485,75.14450867,865
12486,82.33749179,1523
12487,99.29620563,3268
12489,39.62848297,1292
12490,35.45454545,110
12491,97.37313433,1675
12492,32.47232472,271
12493,28.88888889,495
12494,96.9895288,764
12495,25.66037736,265
12496,87.27050184,1634
12498,89.75468975,4851
12501,75.98697599,2457
12502,99.65635739,1164
12503,70.19354839,775
12504,84.44444444,1395
12507,113.7724551,167
12508,71.68008048,19880
12512,192.1259843,127
12513,66.20583717,651
12514,87.23621511,2938
12515,102.1949645,1549
12516,99.67266776,1833
12517,68.17288802,509
12518,90.90289608,5870
12520,89.38565455,3109
12521,91.48418491,1644
12522,89.90719258,5172
12523,97.94215795,1798
12524,82.5041672,15598
12525,87.79824826,3311
12526,86.48941942,3686
12527,0,147
12528,86.27098321,13344
12529,66.49178034,2859
12530,37.90322581,124
12531,71.4801444,3601
12533,91.8915715,25307
12534,82.4704763,17867
12538,83.94155577,14578
12540,103.2043066,7802
12542,91.23964147,5913
12543,99.50016661,3001
12545,83.20386311,4763
12546,84.46857519,3039
12547,90.83362158,2891
12548,71.35207497,1494
12549,97.35320067,10201
12550,57.68361893,54447
12553,77.60864228,24438
12561,88.79178501,18308
12563,75.38347353,8084
12564,93.09076043,7338
12565,64.49226631,1487
12566,103.9058867,10753
12567,87.87666433,2854
12569,90.27071036,9826
12570,77.43862839,7699
12571,95.72494455,9918
12572,91.12134166,9123
12574,137.6899696,329
12575,70.81488043,2258
12577,87.23509118,2029
12578,83.4093737,2411
12580,94.6160836,4402
12581,85.30721282,2246
12582,69.18106929,6191
12583,84.57772338,2451
12585,87.57062147,885
12586,76.12440191,12540
12589,86.33039238,17228
12590,80.66207054,35102
12592,103.9030956,1486
12594,86.01169591,4275
12601,58.27687912,43398
12603,78.62648914,42810
12604,69.96587031,586
12701,68.59766867,11324
12719,96.85169843,1207
12720,63.37209302,172
12721,75.05658669,6627
12722,13.29113924,158
12723,72.1796276,1826
12724,90.6122449,245
12725,49.81949458,277
12726,109.7246127,1162
12729,71.02454642,1874
12732,94.91094148,786
12733,50.34578147,1446
12734,85.81314879,867
12736,76.27118644,118
12737,88.84816754,1910
12738,100.625,320
12740,85.79003181,1886
12741,49.002849,351
12742,37.01657459,181
12743,99.74293059,389
12745,51.68539326,178
12746,64.88794023,937
12747,101.9836639,1714
12748,93.06358382,2076
12749,131,300
12750,124.5989305,187
12751,86.33776091,1054
12752,119.4214876,242
12754,71.01509486,7221
12758,81.32112815,4042
12759,89.69072165,1649
12760,99.17012448,482
12762,149.4140625,512
12763,70.91295117,942
12764,91.45394007,1802
12765,105.8757062,885
12766,56.75057208,437
12767,198.4126984,126
12768,79.2219275,1131
12769,69.96047431,253
12770,74.32432432,296
12771,86.10709117,14511
12775,73.35655202,2297
12776,106.1009174,2180
12777,109.1623037,764
12778,77.09320695,633
12779,43.33333333,2460
12780,91.17647059,2312
12781,52.76872964,307
12783,87.6498801,1668
12784,19.14893617,94
12785,116.1132813,1024
12786,50.52631579,665
12787,52.65486726,452
12788,75.55020633,2908
12789,96.73558215,1838
12790,80.45595396,4518
12791,96.47218453,737
12792,31.64179104,335
12801,94.06405113,14707
12803,109.1846174,7567
12804,95.70836473,26540
12808,78.75816993,306
12809,105.7539683,3528
12810,98.72408293,627
12811,85.03937008,127
12812,142.6666667,150
12814,77.50952986,1574
12815,117.9104478,871
12816,97.54880694,4610
12817,97.93315743,2274
12819,57.81637717,403
12821,41.45454545,2750
12822,95.51612903,6200
12823,221.4285714,238
12824,104.1387025,894
12827,86.30384318,3877
12828,99.9788315,9448
12831,98.02480478,17416
12832,89.62848297,7106
12833,101.7041581,4401
12834,90.79466181,6594
12835,96.31194775,2603
12836,102.6132404,574
12837,133.0221704,857
12838,104.9342105,608
12839,91.48513394,13588
12841,192.2077922,77
12842,60.89193825,1166
12843,80.33333333,600
12844,141.7085427,199
12845,91.86286658,4842
12846,97.8168587,3298
12847,62.47933884,605
